gymId,gymAddress,gymName,gymImgURL,operationTime,area,contact,shower,parking,tutoring,homepage,detail
1015936668,"서울 영등포구 영등포동7가 94-51",클라임웍스,NULL,NULL,0,02-2676-8848,0,0,0,NULL,NULL
102348546,"서울 송파구 삼전동 49-1","손상원 클라이밍짐 잠실점",NULL,NULL,0,02-423-5015,0,0,0,NULL,NULL
10258868,"충북 청주시 청원구 율량동 1873",다오름클라이밍센터,NULL,NULL,0,043-217-1900,0,0,0,NULL,NULL
1032498372,"대전 서구 둔산동 1081","어웨이크클라이밍 타임월드점",NULL,NULL,0,010-7473-0998,0,0,0,NULL,NULL
1040716181,"전북 전주시 덕진구 인후동1가 912-3","한'S 클라이밍센터",NULL,NULL,0,010-4546-1837,0,0,0,NULL,NULL
1071989415,"서울 노원구 상계동 357-2",드림캐처클라이밍짐,NULL,NULL,0,02-6080-1229,0,0,0,NULL,NULL
1107340927,"서울 영등포구 문래동3가 55-3","몽키즈 클라이밍 영등포점",NULL,NULL,0,02-2088-5310,0,0,0,NULL,NULL
1114267701,"강원특별자치도 원주시 개운동 434-6",볼트락암벽짐,NULL,NULL,0,,0,0,0,NULL,NULL
1124532935,"전북 전주시 덕진구 송천동1가 482-1",올라클라이밍센터,NULL,NULL,0,063-251-6777,0,0,0,NULL,NULL
1135946676,"서울 영등포구 양평동6가 13-1",서울볼더스컴퍼니,NULL,NULL,0,02-2632-4478,0,0,0,NULL,NULL
11484319,"충북 청주시 상당구 방서동 206-1",타기클라이밍센터,NULL,NULL,0,043-284-5014,0,0,0,NULL,NULL
1171896886,"전남 순천시 해룡면 월전리 518-11",가온하제,NULL,NULL,0,010-9977-2023,0,0,0,NULL,NULL
1195288603,"경북 안동시 옥동 616-6",안동클라이밍센터,NULL,NULL,0,054-859-8848,0,0,0,NULL,NULL
1197673203,"경남 창원시 성산구 대원동 97-10",창원클라이밍스쿨,NULL,NULL,0,,0,0,0,NULL,NULL
1197885305,"울산 남구 선암동 516",울산인공암벽센터,NULL,NULL,0,052-256-6476,0,0,0,NULL,NULL
1202267773,"경기 수원시 영통구 영통동 981-2","클라임바운스 수원점",NULL,NULL,0,031-8067-8807,0,0,0,NULL,NULL
1202448006,"경남 양산시 물금읍 범어리 2782-4","더하트클라이밍 양산부산대점",NULL,NULL,0,055-388-0231,0,0,0,NULL,NULL
120812720,"전북 전주시 완산구 효자동2가 1241-4",하드락클라이밍카페,NULL,NULL,0,,0,0,0,NULL,NULL
1211043241,"경남 창원시 진해구 자은동 143-1",광클라이밍,NULL,NULL,0,055-552-5001,0,0,0,NULL,NULL
1221512402,"서울 동대문구 용두동 119-42",서울클라이밍센터,NULL,NULL,0,02-928-4677,0,0,0,NULL,NULL
1244222517,"부산 금정구 두구동 1641","스포원파크 인공암벽장",NULL,NULL,0,,0,0,0,NULL,NULL
1263808491,"인천 남동구 간석동 520",간석실내암벽,NULL,NULL,0,032-710-1950,0,0,0,NULL,NULL
1269936251,"서울 강북구 우이동 181-7","블랙야크 야크돔",NULL,NULL,0,02-907-9226,0,0,0,NULL,NULL
13113696,"부산 연제구 연산4동 622-5",부산클라이밍센터,NULL,NULL,0,051-867-8848,0,0,0,NULL,NULL
1327885283,"서울 강남구 역삼동 823-14","더월클라이밍 강남비지점",NULL,NULL,0,,0,0,0,NULL,NULL
1329181772,"충북 충주시 연수동 1148",넝쿨클라이밍센터,NULL,NULL,0,043-842-5956,0,0,0,NULL,NULL
1330937676,"서울 종로구 돈의동 137","피커스 종로점",NULL,NULL,0,02-526-8862,0,0,0,NULL,NULL
1334187849,"경기 수원시 영통구 하동 999",스포츠클라이밍장,NULL,NULL,0,031-290-6012,0,0,0,NULL,NULL
1346983387,"경기 군포시 산본동 241-8",경기클라이밍센터,NULL,NULL,0,031-397-6911,0,0,0,NULL,NULL
1348821481,"서울 강남구 논현동 183","락트리 강남",NULL,NULL,0,070-7802-8889,0,0,0,NULL,NULL
1398145179,"경북 구미시 산동읍 신당리 1458","포시즌클라이밍 산동점",NULL,NULL,0,054-476-1322,0,0,0,NULL,NULL
1402153343,"강원특별자치도 춘천시 남산면 강촌리 233-1",유선대암장,NULL,NULL,0,,0,0,0,NULL,NULL
1419120915,"부산 부산진구 전포동 690-5",브로스클라이밍,NULL,NULL,0,010-8380-4799,0,0,0,NULL,NULL
1424363891,"서울 강남구 삼성동 157-36",온사이트클라이밍,NULL,NULL,0,,0,0,0,NULL,NULL
1436504400,"경기 화성시 진안동 527-16","볼더박스 클라임",NULL,NULL,0,031-222-5014,0,0,0,NULL,NULL
1437644096,"전남 순천시 연향동 752",팔마인공암벽장,NULL,NULL,0,010-2069-4043,0,0,0,NULL,NULL
1455205552,"서울 종로구 명륜2가 21-9","알레클라이밍 혜화점",NULL,NULL,0,070-8886-2018,0,0,0,NULL,NULL
14680269,"충북 충주시 수안보면 안보리 592-13",수안보인공암벽장,NULL,NULL,0,,0,0,0,NULL,NULL
1471134643,"울산 남구 무거동 466-1",업클라이밍짐,NULL,NULL,0,052-236-7399,0,0,0,NULL,NULL
1473458003,"부산 수영구 남천동 323","웨이브락 남천점",NULL,NULL,0,,0,0,0,NULL,NULL
1491561655,"서울 마포구 상암동 481-231",서울시산악문화체험센터,NULL,NULL,0,02-306-8848,0,0,0,NULL,NULL
1510392845,"강원특별자치도 양구군 국토정중앙면 가오작리 1092-2",용소빙장,NULL,NULL,0,,0,0,0,NULL,NULL
1539123641,"서울 노원구 상계동 1110-6",볼더클라이밍짐,NULL,NULL,0,070-4696-3270,0,0,0,NULL,NULL
157291353,"전남 무안군 삼향읍 남악리 2167",카르페클라임,NULL,NULL,0,061-980-6042,0,0,0,NULL,NULL
15888250,"부산 동래구 사직동 71-24",패밀리클라이밍센터,NULL,NULL,0,,0,0,0,NULL,NULL
1589701932,"서울 강남구 역삼동 606-33",무중력클라이밍,NULL,NULL,0,0507-1395-8851,0,0,0,NULL,NULL
1592009501,"충북 충주시 용산동 229",충주락클라이밍,NULL,NULL,0,,0,0,0,NULL,NULL
1595790326,"전남 곡성군 오곡면 오지리 1213","시소 곡성지점",NULL,NULL,0,010-3263-0891,0,0,0,NULL,NULL
1603222466,"서울 강남구 역삼동 728-41",콜스에듀케이션,NULL,NULL,0,070-7766-2152,0,0,0,NULL,NULL
1639604436,"전북 군산시 경암동 683-2",온더락클라이밍,NULL,NULL,0,,0,0,0,NULL,NULL
1665499422,"전북 군산시 소룡동 1071-3",군산클라이밍센터,NULL,NULL,0,,0,0,0,NULL,NULL
1667333925,"전남 순천시 해룡면 월전리 518-2",원클라임,NULL,NULL,0,010-8625-8847,0,0,0,NULL,NULL
1674616319,"서울 강남구 신사동 581-10","타잔101클라이밍 압구정점",NULL,NULL,0,02-511-1013,0,0,0,NULL,NULL
16780960,"경남 김해시 외동 704-13",김해클라이밍센터,NULL,NULL,0,,0,0,0,NULL,NULL
1682612600,"경기 화성시 방교동 780-3",클라임어클락,NULL,NULL,0,070-8255-3119,0,0,0,NULL,NULL
1685987073,"충남 천안시 동남구 목천읍 천정리 108-17",와클라이밍,NULL,NULL,0,0507-1322-4042,0,0,0,NULL,NULL
1695779778,"강원특별자치도 원주시 지정면 간현리 산 116-1",간현암벽공원,NULL,NULL,0,033-761-4177,0,0,0,NULL,NULL
16982603,"대전 유성구 궁동 490-11","클라이밍짐 리드 본점",NULL,NULL,0,042-825-5014,0,0,0,NULL,NULL
1700395604,"서울 강남구 대치동 1010-1","대치유수지체육공원 인공암벽장",NULL,NULL,0,,0,0,0,NULL,NULL
17008617,"서울 도봉구 쌍문동 21-15",도봉파워클라이밍센터,NULL,NULL,0,02-900-6194,0,0,0,NULL,NULL
